Week,Scenario,Demand,Allocated Cranes,Allocated Dockworkers,Needed Cranes,Needed Dockworkers
1,Scenario 1,28339.482313821474,6,4,5.0,0
1,Scenario 2,33340.567428025264,6,4,6.0,0
1,Scenario 3,38341.65254222905,6,4,7.0,0
2,Scenario 1,55217.57306642896,10,28,9.0,0
2,Scenario 2,64961.850666387014,10,28,11.0,0
2,Scenario 3,74706.12826634505,10,28,12.0,0
3,Scenario 1,49020.59763694429,10,8,8.0,0
3,Scenario 2,57671.29133758151,10,8,10.0,0
3,Scenario 3,66321.98503821873,10,8,11.0,0
4,Scenario 1,31694.789375496945,7,4,6.0,0
4,Scenario 2,37287.98750058464,7,4,6.0,0
4,Scenario 3,42881.18562567233,7,4,7.0,0
5,Scenario 1,27987.499779683363,6,4,5.0,0
5,Scenario 2,32926.47032903925,6,4,6.0,0
5,Scenario 3,37865.44087839514,6,4,6.0,0
6,Scenario 1,33985.033308479105,7,5,6.0,0
6,Scenario 2,39982.39212762248,7,5,7.0,0
6,Scenario 3,45979.750946765846,7,5,8.0,0
7,Scenario 1,46489.40300482135,10,4,8.0,0
7,Scenario 2,54693.41529978983,10,4,9.0,0
7,Scenario 3,62897.427594758294,10,4,10.0,0
8,Scenario 1,81325.30584989172,10,50,13.0,0
8,Scenario 2,95676.83041163732,10,50,16.0,0
8,Scenario 3,110028.35497338291,10,50,18.0,0
9,Scenario 1,36400.85665550323,8,4,6.0,0
9,Scenario 2,42824.53724176851,8,4,7.0,0
9,Scenario 3,49248.217828033776,8,4,8.0,0
10,Scenario 1,41238.382511817326,9,4,7.0,0
10,Scenario 2,48515.7441315498,9,4,8.0,0
10,Scenario 3,55793.105751282266,9,4,9.0,0
